ID,proportion
0697,6.596132028178676e-06
0016,6.596132028178676e-06
00F0,6.596132028178676e-06
05CE,6.596132028178676e-06
04BC,6.596132028178676e-06
02C7,6.596132028178676e-06
02B2,6.596132028178676e-06
0513,6.596132028178676e-06
00C5,6.596132028178676e-06
06AE,6.596132028178676e-06
03CB,6.596132028178676e-06
0624,6.596132028178676e-06
0707,6.596132028178676e-06
06A9,6.596132028178676e-06
0330,6.596132028178676e-06
02FA,6.596132028178676e-06
066E,6.596132028178676e-06
07CF,6.596132028178676e-06
0313,6.596132028178676e-06
051A,6.596132028178676e-06
042B,6.596132028178676e-06
0794,6.596132028178676e-06
0736,6.596132028178676e-06
0199,6.596132028178676e-06
0250,6.596132028178676e-06
0352,6.596132028178676e-06
068F,6.596132028178676e-06
03FE,6.596132028178676e-06
0782,6.596132028178676e-06
00F9,6.596132028178676e-06
0666,6.596132028178676e-06
0319,6.596132028178676e-06
0612,6.596132028178676e-06
0307,6.596132028178676e-06
030F,6.596132028178676e-06
0783,6.596132028178676e-06
053C,6.596132028178676e-06
010B,6.596132028178676e-06
004D,6.596132028178676e-06
0290,6.596132028178676e-06
0718,6.596132028178676e-06
0597,6.596132028178676e-06
04FA,6.596132028178676e-06
0294,6.596132028178676e-06
073F,6.596132028178676e-06
0006,6.596132028178676e-06
04EF,6.596132028178676e-06
0373,6.596132028178676e-06
06BF,6.596132028178676e-06
012A,6.596132028178676e-06
0767,6.596132028178676e-06
02D4,6.596132028178676e-06
0416,6.596132028178676e-06
07AC,6.596132028178676e-06
0556,6.596132028178676e-06
070E,6.596132028178676e-06
05E4,6.596132028178676e-06
0198,6.596132028178676e-06
054E,6.596132028178676e-06
07A2,6.596132028178676e-06
01FA,6.596132028178676e-06
03D9,6.596132028178676e-06
